nc,kc,mc,mr,nr,mv,nu,time
512,64,64,2,2,2,2,38.56161573
512,64,64,2,4,2,2,45.275633883333334
512,64,64,2,4,2,4,14.473409696666668
512,64,64,2,8,2,2,14.549630166666667
512,64,64,2,8,2,4,34.30728218
512,64,64,2,8,2,8,8.76241188
512,64,64,2,16,2,2,9.716296406666666
512,64,64,2,16,2,4,14.590242146666666
512,64,64,2,16,2,8,5.157034636666666
512,64,64,2,16,2,16,5.684068636666666
512,64,64,2,32,2,2,6.846804246666667
512,64,64,2,32,2,4,12.181430166666665
512,64,64,2,32,2,8,3.9210765
512,64,64,2,32,2,16,4.025650536666667
512,64,64,4,2,2,2,14.42004818
512,64,64,4,2,4,2,14.194373286666666
512,64,64,4,4,2,2,8.81403436
512,64,64,4,4,2,4,8.64290055
512,64,64,4,4,4,2,26.81018948
512,64,64,4,4,4,4,8.7555531
512,64,64,4,8,2,2,7.379333633333332
512,64,64,4,8,2,4,5.761307919999999
512,64,64,4,8,2,8,5.568848643333332
512,64,64,4,8,4,2,9.51410579
512,64,64,4,8,4,4,5.1212044
512,64,64,4,8,4,8,5.395279143333333
512,64,64,4,16,2,2,6.403230706666666
512,64,64,4,16,2,4,3.686209506666666
512,64,64,4,16,2,8,3.746356546666666
512,64,64,4,16,2,16,3.994589883333334
512,64,64,4,16,4,2,6.33588543
512,64,64,4,16,4,4,3.8884532033333334
512,64,64,4,16,4,8,3.735702836666667
512,64,64,4,16,4,16,55.84053166333334
512,64,64,4,32,2,2,6.176913766666667
512,64,64,4,32,2,4,3.2852061766666663
512,64,64,4,32,2,8,3.26913671
512,64,64,4,32,2,16,6.297500273333333
512,64,64,4,32,4,2,6.112924086666667
512,64,64,4,32,4,4,3.23297379
512,64,64,4,32,4,8,3.396503226666667
512,64,64,4,32,4,16,33.85831397333333
512,64,64,8,2,2,2,9.347735416666666
512,64,64,8,2,4,2,9.144564696666666
512,64,64,8,2,8,2,9.173844566666666
512,64,64,8,4,2,2,6.11410148
512,64,64,8,4,2,4,7.052950896666668
512,64,64,8,4,4,2,6.000418763333332
512,64,64,8,4,4,4,6.977618506666667
512,64,64,8,4,8,2,6.794829803333334
512,64,64,8,4,8,4,7.058922046666667
512,64,64,8,8,2,2,3.9886156699999993
512,64,64,8,8,2,4,3.8515678666666675
512,64,64,8,8,2,8,31.319412246666666
512,64,64,8,8,4,2,3.8906164533333336
512,64,64,8,8,4,4,4.004438483333334
512,64,64,8,8,4,8,4.098946396666667
512,64,64,8,8,8,2,3.9966660000000003
512,64,64,8,8,8,4,4.050278046666667
512,64,64,8,8,8,8,29.12495793
512,64,64,8,16,2,2,3.5389477133333336
512,64,64,8,16,2,4,3.5477714799999998
512,64,64,8,16,2,8,6.514489516666666
512,64,64,8,16,2,16,3.524903076666667
512,64,64,8,16,4,2,3.4924712233333337
512,64,64,8,16,4,4,3.3833851600000004
512,64,64,8,16,4,8,6.27061645
512,64,64,8,16,4,16,43.37353619999999
512,64,64,8,16,8,2,3.4830971366666668
512,64,64,8,16,8,4,3.4653809166666663
512,64,64,8,16,8,8,43.12214831666667
512,64,64,8,16,8,16,37.61130397333333
512,64,64,8,32,2,2,3.7513004100000003
512,64,64,8,32,2,4,3.649989546666667
512,64,64,8,32,2,8,6.129618736666667
512,64,64,8,32,2,16,5.5141584933333325
512,64,64,8,32,4,2,3.64979215
512,64,64,8,32,4,4,3.5167172300000002
512,64,64,8,32,4,8,6.03208718
512,64,64,8,32,4,16,29.35425115666667
512,64,64,8,32,8,2,3.8208912333333336
512,64,64,8,32,8,4,3.488006943333333
512,64,64,8,32,8,8,59.91247620666666
512,64,64,8,32,8,16,50.83416520666667
512,64,64,16,2,2,2,8.475446223333334
512,64,64,16,2,4,2,8.215114033333334
512,64,64,16,2,8,2,8.396215256666668
512,64,64,16,2,16,2,8.349038213333333
512,64,64,16,4,2,2,6.7314576566666675
512,64,64,16,4,2,4,17.902606966666667
512,64,64,16,4,4,2,7.00364111
512,64,64,16,4,4,4,32.199992263333336
512,64,64,16,4,8,2,6.760986883333334
512,64,64,16,4,8,4,8.746317316666667
512,64,64,16,4,16,2,6.921570703333334
512,64,64,16,4,16,4,22.720250243333332
512,64,64,16,8,2,2,3.8146663099999993
512,64,64,16,8,2,4,19.314323260000002
512,64,64,16,8,2,8,20.30745333
512,64,64,16,8,4,2,3.87326598
512,64,64,16,8,4,4,18.563200353333336
512,64,64,16,8,4,8,3.9540261366666662
512,64,64,16,8,8,2,3.7332953
512,64,64,16,8,8,4,9.4467107
512,64,64,16,8,8,8,28.536859480000004
512,64,64,16,8,16,2,3.70547972
512,64,64,16,8,16,4,42.86033108333333
512,64,64,16,8,16,8,31.204578166666664
512,64,64,16,16,2,2,5.335436696666667
512,64,64,16,16,2,4,11.122540083333334
512,64,64,16,16,2,8,6.178522706666667
512,64,64,16,16,2,16,3.8315710966666665
512,64,64,16,16,4,2,5.319549439999999
512,64,64,16,16,4,4,10.858097233333332
512,64,64,16,16,4,8,6.02279986
512,64,64,16,16,4,16,42.31035383
512,64,64,16,16,8,2,5.240716823333333
512,64,64,16,16,8,4,10.990763573333334
512,64,64,16,16,8,8,40.19192351333333
512,64,64,16,16,8,16,37.69811602666667
512,64,64,16,16,16,2,5.278527313333333
512,64,64,16,16,16,4,57.77100884333333
512,64,64,16,16,16,8,59.42107907666667
512,64,64,16,16,16,16,39.291215023333336
512,64,64,16,32,2,2,6.03897187
512,64,64,16,32,2,4,11.0455021
512,64,64,16,32,2,8,6.0342982166666665
512,64,64,16,32,2,16,5.315528066666666
512,64,64,16,32,4,2,5.861452890000001
512,64,64,16,32,4,4,10.95431893
512,64,64,16,32,4,8,6.081641516666667
512,64,64,16,32,4,16,28.79691745333333
512,64,64,16,32,8,2,6.033582223333334
512,64,64,16,32,8,4,10.770589736666667
512,64,64,16,32,8,8,60.21007101333334
512,64,64,16,32,8,16,51.70340575666666
512,64,64,16,32,16,2,5.92676336
512,64,64,16,32,16,4,82.52090508666667
512,64,64,16,32,16,8,83.99005310333334
512,64,64,16,32,16,16,67.044415
512,64,64,32,2,2,2,10.552590766666667
512,64,64,32,2,4,2,9.294357586666667
512,64,64,32,2,8,2,9.041005696666668
512,64,64,32,2,16,2,8.78421713
512,64,64,32,4,2,2,41.46515539666667
512,64,64,32,4,2,4,7.9029866066666665
512,64,64,32,4,4,2,21.45406182
512,64,64,32,4,4,4,6.648257003333334
512,64,64,32,4,8,2,21.018330953333333
512,64,64,32,4,8,4,7.432336073333333
512,64,64,32,4,16,2,20.767623373333333
512,64,64,32,4,16,4,22.088695793333336
512,64,64,32,8,2,2,46.143615383333334
512,64,64,32,8,2,4,12.292106323333334
512,64,64,32,8,2,8,6.5607256099999995
512,64,64,32,8,4,2,20.8373197
512,64,64,32,8,4,4,12.685467756666666
512,64,64,32,8,4,8,4.841331486666667
512,64,64,32,8,8,2,17.08301412
512,64,64,32,8,8,4,12.861199229999999
512,64,64,32,8,8,8,29.47333461666667
512,64,64,32,8,16,2,18.96253104666667
512,64,64,32,8,16,4,40.08207288333334
512,64,64,32,8,16,8,31.425933729999997
512,64,64,32,16,2,2,64.04015798
512,64,64,32,16,2,4,11.137644676666667
512,64,64,32,16,2,8,8.58556275
512,64,64,32,16,2,16,6.272167226666667
512,64,64,32,16,4,2,21.677199979999997
512,64,64,32,16,4,4,11.413345823333332
512,64,64,32,16,4,8,7.253418769999999
512,64,64,32,16,4,16,42.39459886333333
512,64,64,32,16,8,2,20.629166050000002
512,64,64,32,16,8,4,11.109448036666667
512,64,64,32,16,8,8,37.373801033333336
512,64,64,32,16,8,16,37.97792018666667
512,64,64,32,16,16,2,21.094458866666667
512,64,64,32,16,16,4,53.988454963333325
512,64,64,32,16,16,8,59.771440930000004
512,64,64,32,16,16,16,38.054581043333336
512,64,64,32,32,2,2,24.099693766666665
512,64,64,32,32,2,4,13.38494478
512,64,64,32,32,2,8,8.754185643333333
512,64,64,32,32,2,16,6.458575946666667
512,64,64,32,32,4,2,21.814662470000002
512,64,64,32,32,4,4,11.496425303333332
512,64,64,32,32,4,8,7.4166734
512,64,64,32,32,4,16,28.268252846666666
512,64,64,32,32,8,2,20.844694103333335
512,64,64,32,32,8,4,11.02786302
512,64,64,32,32,8,8,59.140994796666675
512,64,64,32,32,8,16,50.07832556333334
512,64,64,32,32,16,2,21.0246837
512,64,64,32,32,16,4,74.24869684
512,64,64,32,32,16,8,69.36704303666667
512,64,64,32,32,16,16,53.877509006666656
512,64,128,2,2,2,2,39.25312573666666
512,64,128,2,4,2,2,44.82052566666667
512,64,128,2,4,2,4,13.738281319999999
512,64,128,2,8,2,2,14.603698436666667
512,64,128,2,8,2,4,34.34475684333333
512,64,128,2,8,2,8,8.40999168
512,64,128,2,16,2,2,9.8182813
512,64,128,2,16,2,4,14.71802213
512,64,128,2,16,2,8,5.05953395
512,64,128,2,16,2,16,5.83872402
512,64,128,2,32,2,2,6.642758536666666
512,64,128,2,32,2,4,12.280267046666665
512,64,128,2,32,2,8,3.8831246166666658
512,64,128,2,32,2,16,3.91709168
512,64,128,4,2,2,2,14.007019506666666
512,64,128,4,2,4,2,13.960028016666667
512,64,128,4,4,2,2,8.688779633333333
512,64,128,4,4,2,4,8.66228828
512,64,128,4,4,4,2,26.92505039666667
512,64,128,4,4,4,4,8.797307186666666
512,64,128,4,8,2,2,7.5861223
512,64,128,4,8,2,4,5.563449753333334
512,64,128,4,8,2,8,5.5270361900000005
512,64,128,4,8,4,2,9.44698827
512,64,128,4,8,4,4,5.1292155
512,64,128,4,8,4,8,5.528136483333332
512,64,128,4,16,2,2,6.429799366666666
512,64,128,4,16,2,4,3.864798393333333
512,64,128,4,16,2,8,3.832564593333333
512,64,128,4,16,2,16,4.10088534
512,64,128,4,16,4,2,6.455677369999999
512,64,128,4,16,4,4,3.855524433333333
512,64,128,4,16,4,8,3.8461943566666665
512,64,128,4,16,4,16,55.60140641
512,64,128,4,32,2,2,6.172236656666667
512,64,128,4,32,2,4,3.3744546000000004
512,64,128,4,32,2,8,3.327480406666667
512,64,128,4,32,2,16,6.218657076666667
512,64,128,4,32,4,2,6.0904631233333335
512,64,128,4,32,4,4,3.2401509900000005
512,64,128,4,32,4,8,3.2413347
512,64,128,4,32,4,16,34.05428787666666
512,64,128,8,2,2,2,9.285398279999999
512,64,128,8,2,4,2,9.452509630000002
512,64,128,8,2,8,2,9.52199493
512,64,128,8,4,2,2,5.937987923333333
512,64,128,8,4,2,4,7.01226936
512,64,128,8,4,4,2,6.040803876666667
512,64,128,8,4,4,4,6.882622053333335
512,64,128,8,4,8,2,6.665750046666666
512,64,128,8,4,8,4,7.083813486666666
512,64,128,8,8,2,2,3.874631413333334
512,64,128,8,8,2,4,4.01117576
512,64,128,8,8,2,8,31.186959676666664
512,64,128,8,8,4,2,4.052856153333334
512,64,128,8,8,4,4,3.9388897199999997
512,64,128,8,8,4,8,4.232137193333333
512,64,128,8,8,8,2,3.9779006600000004
512,64,128,8,8,8,4,4.01728356
512,64,128,8,8,8,8,29.13611150666667
512,64,128,8,16,2,2,3.4062234166666663
512,64,128,8,16,2,4,3.517748449999999
512,64,128,8,16,2,8,6.279944816666666
512,64,128,8,16,2,16,3.70151619
512,64,128,8,16,4,2,3.4599122199999996
512,64,128,8,16,4,4,3.3871331533333335
512,64,128,8,16,4,8,6.373384883333333
512,64,128,8,16,4,16,43.399758393333336
512,64,128,8,16,8,2,3.4414053733333336
