nc,kc,mc,mr,nr,mv,nu,time
512,64,64,2,2,2,2,30.950767370000005
512,64,64,2,4,2,2,27.885557496666667
512,64,64,2,4,2,4,28.072181946666667
512,64,64,2,8,2,2,29.22565098333333
512,64,64,2,8,2,4,28.008583123333338
512,64,64,2,8,2,8,27.783356099999995
512,64,64,2,16,2,2,29.576465183333337
512,64,64,2,16,2,4,29.33520636666666
512,64,64,2,16,2,8,29.512324463333336
512,64,64,2,16,2,16,29.526392810000004
512,64,64,2,32,2,2,5.516744423333333
512,64,64,2,32,2,4,9.90195403
512,64,64,2,32,2,8,3.182145813333334
512,64,64,2,32,2,16,3.2814166666666664
512,64,64,4,2,2,2,28.214017289999997
512,64,64,4,2,4,2,28.87502975666667
512,64,64,4,4,2,2,27.077377820000002
512,64,64,4,4,2,4,27.11637571
512,64,64,4,4,4,2,27.126712756666667
512,64,64,4,4,4,4,26.75298038
512,64,64,4,8,2,2,26.40177637
512,64,64,4,8,2,4,26.446310766666667
512,64,64,4,8,2,8,26.272878563333332
512,64,64,4,8,4,2,26.068496893333336
512,64,64,4,8,4,4,26.656081010000005
512,64,64,4,8,4,8,27.29737025
512,64,64,4,16,2,2,5.504114326666667
512,64,64,4,16,2,4,3.4463593999999995
512,64,64,4,16,2,8,4.184360043333333
512,64,64,4,16,2,16,8.76951791
512,64,64,4,16,4,2,5.515728116666667
512,64,64,4,16,4,4,3.5403807933333336
512,64,64,4,16,4,8,3.5090115933333332
512,64,64,4,16,4,16,47.89352664333333
512,64,64,4,32,2,2,5.054346503333333
512,64,64,4,32,2,4,2.72968193
512,64,64,4,32,2,8,2.7364013799999998
512,64,64,4,32,2,16,6.674728953333333
512,64,64,4,32,4,2,5.01363801
512,64,64,4,32,4,4,2.8737924433333335
512,64,64,4,32,4,8,2.803911043333333
512,64,64,4,32,4,16,26.577599560000003
512,64,64,8,2,2,2,30.2280929
512,64,64,8,2,4,2,30.02581424666667
512,64,64,8,2,8,2,30.060196990000005
512,64,64,8,4,2,2,28.29848705333334
512,64,64,8,4,2,4,28.625717756666667
512,64,64,8,4,4,2,27.756122186666666
512,64,64,8,4,4,4,27.60879139
512,64,64,8,4,8,2,27.898689260000005
512,64,64,8,4,8,4,27.830776843333332
512,64,64,8,8,2,2,3.526246703333333
512,64,64,8,8,2,4,3.5732192633333337
512,64,64,8,8,2,8,29.65732753666667
512,64,64,8,8,4,2,3.4359224000000004
512,64,64,8,8,4,4,3.4333239333333334
512,64,64,8,8,4,8,5.463959953333333
