nc,kc,mc,mr,nr,mv,nu,time
512,64,64,16,32,4,8,109.21130666666667
512,64,64,16,32,4,16,99.87748433333331
512,64,64,16,32,8,2,101.32819233333333
512,64,64,16,32,8,4,115.84877633333335
512,64,64,16,32,8,8,108.87637433333333
512,64,64,16,32,8,16,96.17608933333332
512,64,64,16,32,16,2,104.86263666666666
512,64,64,16,32,16,4,120.69092633333334
512,64,64,16,32,16,8,102.60110766666665
512,64,64,16,32,16,16,102.99859466666666
512,64,64,32,2,2,2,118.54186166666666
512,64,64,32,2,4,2,132.9365546666667
512,64,64,32,2,8,2,129.40964366666668
512,64,64,32,2,16,2,124.318819
512,64,64,32,4,2,2,128.332916
512,64,64,32,4,2,4,112.25539599999999
512,64,64,32,4,4,2,127.647613
512,64,64,32,4,4,4,120.956156
512,64,64,32,4,8,2,130.19056933333334
512,64,64,32,4,8,4,106.72210966666667
512,64,64,32,4,16,2,117.31360266666668
512,64,64,32,4,16,4,139.7567406666667
512,64,64,32,8,2,2,140.64454
512,64,64,32,8,2,4,109.777863
512,64,64,32,8,2,8,105.76326966666666
512,64,64,32,8,4,2,122.31176200000002
512,64,64,32,8,4,4,103.36914133333332
512,64,64,32,8,4,8,101.080029
512,64,64,32,8,8,2,120.620718
512,64,64,32,8,8,4,101.67726966666666
512,64,64,32,8,8,8,114.450795
512,64,64,32,8,16,2,126.46188433333334
512,64,64,32,8,16,4,112.32352266666666
512,64,64,32,8,16,8,99.76529233333332
512,64,64,32,16,2,2,126.90506500000001
512,64,64,32,16,2,4,102.71051866666666
512,64,64,32,16,2,8,104.81195200000002
512,64,64,32,16,2,16,104.08976666666666
512,64,64,32,16,4,2,116.63294766666668
512,64,64,32,16,4,4,105.69040733333334
512,64,64,32,16,4,8,111.07308799999998
512,64,64,32,16,4,16,94.60127200000001
512,64,64,32,16,8,2,122.51172700000001
512,64,64,32,16,8,4,107.76765599999999
512,64,64,32,16,8,8,138.06954366666668
512,64,64,32,16,8,16,93.65666766666666
512,64,64,32,16,16,2,123.76891566666667
512,64,64,32,16,16,4,111.39346
512,64,64,32,16,16,8,107.40181366666665
512,64,64,32,16,16,16,101.965787
512,64,64,32,32,2,2,116.41414533333334
512,64,64,32,32,2,4,122.96843299999998
512,64,64,32,32,2,8,102.72745933333334
512,64,64,32,32,2,16,106.66421700000001
512,64,64,32,32,4,2,120.15119266666666
512,64,64,32,32,4,4,103.605453
512,64,64,32,32,4,8,115.82437733333335
512,64,64,32,32,4,16,102.750393
512,64,64,32,32,8,2,124.89790233333333
512,64,64,32,32,8,4,111.36108133333333
512,64,64,32,32,8,8,137.02144766666666
512,64,64,32,32,8,16,101.25088133333334
512,64,64,32,32,16,2,117.62582699999999
512,64,64,32,32,16,4,107.29617633333334
512,64,64,32,32,16,8,108.13840399999998
512,64,64,32,32,16,16,102.23599566666667
512,64,128,2,2,2,2,90.62189666666667
512,64,128,2,4,2,2,165.532906
512,64,128,2,4,2,4,67.299659
512,64,128,2,8,2,2,125.78148933333335
512,64,128,2,8,2,4,138.45618
512,64,128,2,8,2,8,59.69988933333334
512,64,128,2,16,2,2,141.07474
512,64,128,2,16,2,4,152.822588
512,64,128,2,16,2,8,145.24956966666664
512,64,128,2,16,2,16,65.02020800000001
512,64,128,2,32,2,2,124.85289366666666
512,64,128,2,32,2,4,120.28275533333334
512,64,128,2,32,2,8,140.83111466666668
512,64,128,2,32,2,16,132.11574666666667
512,64,128,4,2,2,2,75.026205
512,64,128,4,2,4,2,64.68447166666668
512,64,128,4,4,2,2,61.620176666666666
512,64,128,4,4,2,4,51.74464066666666
512,64,128,4,4,4,2,131.03028633333332
512,64,128,4,4,4,4,51.93204466666667
512,64,128,4,8,2,2,47.427217
512,64,128,4,8,2,4,52.829227333333336
512,64,128,4,8,2,8,49.045269000000005
512,64,128,4,8,4,2,125.01709566666668
512,64,128,4,8,4,4,130.26775666666668
512,64,128,4,8,4,8,48.79978466666666
512,64,128,4,16,2,2,122.76508233333334
512,64,128,4,16,2,4,117.75771666666668
512,64,128,4,16,2,8,119.54850233333333
512,64,128,4,16,2,16,123.89744366666669
512,64,128,4,16,4,2,119.89848633333335
512,64,128,4,16,4,4,117.87231899999999
512,64,128,4,16,4,8,116.75319866666668
512,64,128,4,16,4,16,113.928519
512,64,128,4,32,2,2,116.463018
512,64,128,4,32,2,4,115.98505700000001
512,64,128,4,32,2,8,117.82590166666667
512,64,128,4,32,2,16,122.94990166666668
512,64,128,4,32,4,2,116.79656366666667
512,64,128,4,32,4,4,115.97788733333334
512,64,128,4,32,4,8,117.79533866666665
512,64,128,4,32,4,16,112.46472799999998
512,64,128,8,2,2,2,64.10102833333333
512,64,128,8,2,4,2,60.74097500000001
512,64,128,8,2,8,2,69.982881
512,64,128,8,4,2,2,59.88550833333332
512,64,128,8,4,2,4,46.700252
512,64,128,8,4,4,2,59.807523666666675
512,64,128,8,4,4,4,46.689465
512,64,128,8,4,8,2,130.69918333333334
512,64,128,8,4,8,4,50.95739766666667
512,64,128,8,8,2,2,114.62296033333332
512,64,128,8,8,2,4,112.18458999999997
512,64,128,8,8,2,8,111.64695600000002
512,64,128,8,8,4,2,114.87509833333334
512,64,128,8,8,4,4,112.15737133333333
512,64,128,8,8,4,8,105.150164
512,64,128,8,8,8,2,119.86915733333332
512,64,128,8,8,8,4,112.59893466666666
512,64,128,8,8,8,8,126.93211833333335
512,64,128,8,16,2,2,105.23757666666667
512,64,128,8,16,2,4,105.82503033333333
512,64,128,8,16,2,8,113.393508
512,64,128,8,16,2,16,109.637456
512,64,128,8,16,4,2,108.782779
512,64,128,8,16,4,4,110.29380366666668
512,64,128,8,16,4,8,116.47233333333332
512,64,128,8,16,4,16,106.92384433333332
512,64,128,8,16,8,2,106.09683633333334
512,64,128,8,16,8,4,105.99157066666666
512,64,128,8,16,8,8,106.89575233333332
512,64,128,8,16,8,16,104.31848133333332
512,64,128,8,32,2,2,116.40776566666668
