nc,kc,mc,mr,nr,mv,nu,time
512,64,128,16,16,2,2,6.633402359999999
512,64,128,16,16,2,4,9.939889706666666
512,64,128,16,16,2,8,5.412169939999999
512,64,128,16,16,2,16,4.43290895
512,64,128,16,16,4,2,6.648335256666667
512,64,128,16,16,4,4,9.450308563333335
512,64,128,16,16,4,8,5.449824893333333
512,64,128,16,16,4,16,65.71558589666667
512,64,128,16,16,8,2,6.572879656666665
512,64,128,16,16,8,4,9.453626286666667
512,64,128,16,16,8,8,53.24287985
512,64,128,16,16,8,16,114.38011899333331
512,64,128,16,16,16,2,6.627597430000001
512,64,128,16,16,16,4,162.20327837333332
512,64,128,16,16,16,8,118.98342538666667
512,64,128,16,16,16,16,114.12416309333334
512,64,128,16,32,2,2,5.35457365
512,64,128,16,32,2,4,9.570215976666665
512,64,128,16,32,2,8,5.088753653333333
512,64,128,16,32,2,16,5.164973656666667
512,64,128,16,32,4,2,5.26843771
512,64,128,16,32,4,4,9.191077076666666
512,64,128,16,32,4,8,5.181529366666667
512,64,128,16,32,4,16,34.134908206666665
512,64,128,16,32,8,2,5.299245639999999
512,64,128,16,32,8,4,9.2337103
512,64,128,16,32,8,8,85.13531985
512,64,128,16,32,8,16,67.57585114666666
512,64,128,16,32,16,2,5.35091336
512,64,128,16,32,16,4,267.35655253000004
512,64,128,16,32,16,8,216.97765092999998
512,64,128,16,32,16,16,141.93829480666668
512,64,128,32,2,2,2,7.829260860000001
512,64,128,32,2,4,2,7.8326687066666665
512,64,128,32,2,8,2,7.842134036666668
512,64,128,32,2,16,2,7.830929113333335
512,64,128,32,4,2,2,75.54788736
512,64,128,32,4,2,4,7.30303418
512,64,128,32,4,4,2,23.388824493333335
512,64,128,32,4,4,4,6.188836106666666
512,64,128,32,4,8,2,23.130639010000003
512,64,128,32,4,8,4,7.195199349999999
512,64,128,32,4,16,2,23.12404439666667
512,64,128,32,4,16,4,60.572177719999985
512,64,128,32,8,2,2,113.82293588333334
512,64,128,32,8,2,4,11.254587276666667
512,64,128,32,8,2,8,5.768976303333334
512,64,128,32,8,4,2,24.319994813333334
512,64,128,32,8,4,4,10.5478605
512,64,128,32,8,4,8,5.4799832466666665
512,64,128,32,8,8,2,19.363503133333335
512,64,128,32,8,8,4,10.750913256666665
512,64,128,32,8,8,8,85.89883245666667
512,64,128,32,8,16,2,20.22787305
512,64,128,32,8,16,4,85.78319055333333
512,64,128,32,8,16,8,87.65373649000001
512,64,128,32,16,2,2,193.88189887000001
512,64,128,32,16,2,4,9.96299831
512,64,128,32,16,2,8,10.741990640000001
512,64,128,32,16,2,16,5.638280653333333
512,64,128,32,16,4,2,24.105619996666668
512,64,128,32,16,4,4,10.610923013333332
512,64,128,32,16,4,8,6.818543346666667
512,64,128,32,16,4,16,65.58586679
512,64,128,32,16,8,2,18.707230153333334
512,64,128,32,16,8,4,9.82882807
512,64,128,32,16,8,8,52.003890743333336
512,64,128,32,16,8,16,113.69343911666665
512,64,128,32,16,16,2,18.718023779999996
512,64,128,32,16,16,4,164.7960230966667
512,64,128,32,16,16,8,117.93847947333333
512,64,128,32,16,16,16,114.56980232333335
512,64,128,32,32,2,2,29.897577933333334
512,64,128,32,32,2,4,12.068188006666666
512,64,128,32,32,2,8,7.03736303
