nc,kc,mc,mr,nr,mv,nu,time
512,64,64,8,16,8,2,4.0458217066666675
512,64,64,8,16,8,4,4.089570366666667
512,64,64,8,16,8,8,48.59532616999999
512,64,64,8,16,8,16,98.53162789666668
512,64,64,8,32,2,2,4.260259326666667
512,64,64,8,32,2,4,4.238881326666666
512,64,64,8,32,2,8,4.68274166
512,64,64,8,32,2,16,4.543460663333334
512,64,64,8,32,4,2,4.212796993333333
512,64,64,8,32,4,4,4.1941873266666665
512,64,64,8,32,4,8,4.5798999899999995
512,64,64,8,32,4,16,29.480010946666667
512,64,64,8,32,8,2,4.199183326666667
512,64,64,8,32,8,4,4.155255993333333
512,64,64,8,32,8,8,75.29837253000001
512,64,64,8,32,8,16,60.13521753
512,64,64,16,2,2,2,6.406460953333333
512,64,64,16,2,4,2,6.486729293333334
512,64,64,16,2,8,2,6.474876956666667
512,64,64,16,2,16,2,6.383144626666667
512,64,64,16,4,2,2,10.591827603333334
512,64,64,16,4,2,4,42.66209378333333
512,64,64,16,4,4,2,10.584482586666667
512,64,64,16,4,4,4,31.40699675666667
512,64,64,16,4,8,2,10.592392263333332
512,64,64,16,4,8,4,6.2956229666666665
512,64,64,16,4,16,2,10.563218606666668
512,64,64,16,4,16,4,55.57472746333333
512,64,64,16,8,2,2,5.982454303333334
512,64,64,16,8,2,4,12.961913613333333
512,64,64,16,8,2,8,50.587880813333335
512,64,64,16,8,4,2,5.910688970000001
512,64,64,16,8,4,4,11.405051843333334
512,64,64,16,8,4,8,4.048140549999999
512,64,64,16,8,8,2,6.0081268266666665
512,64,64,16,8,8,4,9.007734823333333
512,64,64,16,8,8,8,74.48202868999999
512,64,64,16,8,16,2,5.915856636666668
512,64,64,16,8,16,4,78.86975189666667
512,64,64,16,8,16,8,75.85657979
512,64,64,16,16,2,2,5.752794623333333
512,64,64,16,16,2,4,10.022747256666667
512,64,64,16,16,2,8,4.7302073133333336
512,64,64,16,16,2,16,3.966587983333333
512,64,64,16,16,4,2,5.735148976666666
512,64,64,16,16,4,4,8.248221986666668
512,64,64,16,16,4,8,4.697744996666667
512,64,64,16,16,4,16,57.22937772666667
512,64,64,16,16,8,2,5.730773336666666
512,64,64,16,16,8,4,8.266582336666668
512,64,64,16,16,8,8,46.72622612333333
512,64,64,16,16,8,16,98.46980510666666
512,64,64,16,16,16,2,5.7269572900000005
512,64,64,16,16,16,4,140.72862630999998
512,64,64,16,16,16,8,103.52491527000001
512,64,64,16,16,16,16,98.89160286666667
512,64,64,16,32,2,2,4.721258053333333
512,64,64,16,32,2,4,8.263739056666667
512,64,64,16,32,2,8,4.637487583333333
512,64,64,16,32,2,16,4.524752576666667
512,64,64,16,32,4,2,4.689864426666667
512,64,64,16,32,4,4,7.859393686666666
512,64,64,16,32,4,8,4.64113068
512,64,64,16,32,4,16,29.768041346666664
512,64,64,16,32,8,2,4.714659343333333
512,64,64,16,32,8,4,8.118396353333333
512,64,64,16,32,8,8,74.70141618000001
512,64,64,16,32,8,16,58.37242177666667
512,64,64,16,32,16,2,4.844825843333333
512,64,64,16,32,16,4,232.83538190333337
