MNK,runtime,time_mean,time_std
256,onnx2code-conv-naive,0.5491880600000001,0.13237336197376118
256,onnx2code-im2col,0.9188441900000001,0.1298197832873476
256,tensorflow,1.3908916,0.2866774618994664
256,onnxruntime,0.4345319399999999,0.1870622537994141
288,onnx2code-conv-naive,0.48715349999999996,0.08764745483840361
288,onnx2code-im2col,1.34965215,0.26676209362540154
288,tensorflow,1.4971754700000002,0.2615000408917924
288,onnxruntime,0.66567734,0.13843684378489854
320,onnx2code-conv-naive,0.69172044,0.13837388211142448
320,onnx2code-im2col,1.5007587900000001,0.27390226756988684
320,tensorflow,1.6004319200000001,0.24421334188048285
320,onnxruntime,0.83764132,0.18599264028895768
352,onnx2code-conv-naive,0.7370404599999999,0.13744646944053673
352,onnx2code-im2col,1.9929681699999995,0.3946627409351447
352,tensorflow,1.7411530500000003,0.2345129273474439
352,onnxruntime,1.0316308899999997,0.16029263369212543
384,onnx2code-conv-naive,0.85087959,0.14158904427695632
384,onnx2code-im2col,2.24507743,0.38668566384204767
384,tensorflow,1.8663835800000002,0.3699921724628017
384,onnxruntime,1.34216344,0.2132365995996616
416,onnx2code-conv-naive,1.07306232,0.14262480010565343
416,onnx2code-im2col,3.00455171,0.7940435426173719
416,tensorflow,1.9588059400000004,0.2563426713220731
416,onnxruntime,1.5810998100000004,0.24184807849080361
448,onnx2code-conv-naive,1.2683012500000002,0.18853181540193026
448,onnx2code-im2col,3.25650464,0.6449111779435757
448,tensorflow,2.41006099,0.3340333789623874
448,onnxruntime,1.85145789,0.2536602645151934
480,onnx2code-conv-naive,1.4698558999999998,0.17367458305287506
480,onnx2code-im2col,3.86520041,0.9520036125981465
480,tensorflow,2.3632088700000002,0.28686510795984427
480,onnxruntime,2.07489152,0.28566567101177837
512,onnx2code-conv-naive,1.59486367,0.198567874527178
512,onnx2code-im2col,4.39524337,0.7469946433111774
512,tensorflow,2.51543401,0.26654362903001433
512,onnxruntime,2.4066684400000002,0.29880642444644057
544,onnx2code-conv-naive,1.59447175,0.20297294414607947
544,onnx2code-im2col,4.877493419999999,0.946721760463772
544,tensorflow,2.78587158,0.4026182149866093
544,onnxruntime,2.64123508,0.30412804938264676
576,onnx2code-conv-naive,1.8584777100000003,0.2965443570897715
576,onnx2code-im2col,5.182136000000001,0.613396774608165
576,tensorflow,2.94818244,0.34298876794677463
576,onnxruntime,3.0138453599999995,0.32912679608830153
608,onnx2code-conv-naive,2.1042586300000004,0.33962333469941824
608,onnx2code-im2col,5.90957882,0.7201904177597808
608,tensorflow,2.9772878200000004,0.38372111270959225
608,onnxruntime,3.3932347099999993,0.4371578633363993
640,onnx2code-conv-naive,2.2751119600000003,0.2228727057489508
640,onnx2code-im2col,6.65117641,0.8332841357658395
640,tensorflow,3.4733946799999997,0.4854518077448446
640,onnxruntime,3.6088097100000005,0.37096904414304693
672,onnx2code-conv-naive,2.38564787,0.30105978589790616
672,onnx2code-im2col,7.230346799999999,0.779337072554604
672,tensorflow,3.72211326,0.3315343707700189
672,onnxruntime,4.015681740000001,0.36337057032155534
704,onnx2code-conv-naive,2.73222686,0.3305703471703722
704,onnx2code-im2col,7.684625929999999,0.7507740755702911
704,tensorflow,3.9292453199999993,0.36010634476584497
704,onnxruntime,4.47966224,0.4367974261954189
736,onnx2code-conv-naive,3.0278000099999995,0.4229891265275384
736,onnx2code-im2col,8.640412600000001,0.9262444881498297
736,tensorflow,4.10335983,0.42943891032949155
736,onnxruntime,4.78642897,0.4368799570415529
768,onnx2code-conv-naive,3.1074968299999997,0.35935848197272474
768,onnx2code-im2col,9.42943564,1.0549493285844636
768,tensorflow,4.35549105,0.4705102456384
768,onnxruntime,5.20144776,0.48165631481254595
800,onnx2code-conv-naive,3.40349017,0.4410177443325167
800,onnx2code-im2col,10.087175249999998,1.0337052905505357
800,tensorflow,4.58121696,0.515248672096919
800,onnxruntime,5.688211319999999,0.5391705471565167
832,onnx2code-conv-naive,3.74884378,0.4504297513641739
832,onnx2code-im2col,11.362020870000004,1.3332305096315464
832,tensorflow,4.743467050000001,0.627452077184997
832,onnxruntime,6.235891240000001,0.5067022519198059
864,onnx2code-conv-naive,4.14272667,0.5105069073467872
864,onnx2code-im2col,12.0510654,1.139568936617281
864,tensorflow,5.09580038,0.509759947245226
864,onnxruntime,6.721285499999999,0.5030100573284891
896,onnx2code-conv-naive,4.175582160000001,0.4371373430177001
896,onnx2code-im2col,12.419930509999999,0.899210697129538
896,tensorflow,5.326666319999998,0.4760109094783623
896,onnxruntime,7.1844892499999995,0.6275378377775538
928,onnx2code-conv-naive,4.54842397,0.46409270056854923
928,onnx2code-im2col,13.424788929999998,1.0794657054235974
928,tensorflow,5.974092810000001,0.569689363140259
928,onnxruntime,7.64295418,0.611710935315078
960,onnx2code-conv-naive,4.86105023,0.5581146653470925
960,onnx2code-im2col,14.558563390000003,1.1082483519696646
960,tensorflow,6.5112397500000005,1.460229401409055
960,onnxruntime,8.19947209,0.6584829936922305
992,onnx2code-conv-naive,5.120063300000001,0.544389909767209
992,onnx2code-im2col,15.694976389999997,1.2412264189912563
992,tensorflow,6.476902399999999,0.6904489808260419
992,onnxruntime,8.69421666,0.6245109155897632
1024,onnx2code-conv-naive,5.590155300000001,0.6496297329966895
1024,onnx2code-im2col,17.33253985,1.077605242483038
1024,tensorflow,6.79198762,0.5675002324853758
1024,onnxruntime,9.496853179999999,1.333272052480006
1056,onnx2code-conv-naive,5.772926100000001,0.6658795291482311
1056,onnx2code-im2col,17.946812150000003,1.2365768010534273
